Title,Year,DOI,PMID,Journal,Abstract,Source,Paper_ID
Molecular Characterization of Increased Amplicon Lengths in SARS-CoV-2 Reverse Transcription Loop-Mediated Isothermal Amplification Assays.,2021,10.7171/jbt.21-3203-015,35027877,Journal of biomolecular techniques : JBT,"Loop-mediated isothermal amplification (LAMP) is a power tool for the amplification of specific RNA and DNA targets. Much like PCR, LAMP requires primers that surround a target amplification region and generates exponential product through a unique highly specific daisy-chain single-temperature amplification reaction. However, until recently, attempts to amplify targets of greater than 200 base pairs (bp) have been mostly unsuccessful and limited to short amplicon targets of less than 150 bp. Although short amplicons have the benefit of a rapid detection (<40 min), they do not allow for the prediction of RNA integrity based on RNA length and possible intactness. In this study, 8 primer sets were developed using 2 LAMP primer-specific software packages against the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) nucleocapsid gene with insert lengths ranging from 262 to 945 bp in order to amplify and infer the integrity of viral RNA. Because these amplification lengths are greater than the current methods that use an insert length of 130 or less, they require a longer incubation, modified primer and temperature strategies, and the addition of specific adjuncts to prevent nonspecific amplification. This proof of concept study resulted in successful reverse transcription LAMP reactions for amplicon targets of 262, 687, 693, and 945 bp using a clinical nasopharyngeal NP sample, purified SARS-CoV-2 RNA, and crude lysate containing inactivated virus.",PubMed,2021_jbt21-3203-
"Saliva ""Treat-and-Heat"" Triplex Reverse Transcription Loop-Mediated Isothermal Amplification Assay for SARS-CoV-2.",2021,10.7171/jbt.21-3203-014,35027876,Journal of biomolecular techniques : JBT,"The demand for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) molecular diagnostics that are faster, cheaper, and simpler to run than nasopharyngeal-based reverse transcription quantitative PCR (RT-qPCR) tests remains unmet in many parts of the world. In the Philippines, geographical and economic access to quality diagnostic testing remains out of reach for many communities. We describe the preclinical development of a fluorescence-based reverse transcription loop-mediated isothermal amplification test that uses drooled saliva as the biospecimen. Six treat-and-heat (""direct"") procedures that inactivate the virus and release the target RNA were compared. Using duplexed As1e and E1 primers, protocols derived from Ben-Assa et al. (2020) using proteinase K or from Rabe and Cepko (2020) using TCEP (Tris(2-carboxyethyl)phosphine hydrochloride)/EDTA provided reliable RNA amplification. The TCEP/EDTA-based method in particular showed improvement in robustness in duplex vs. singleplex format. Inclusion of human ",PubMed,2021_jbt21-3203-
Direct Viral RNA Detection of SARS-CoV-2 and DENV in Inactivated Samples by Real-Time RT-qPCR: Implications for Diagnosis in Resource Limited Settings with Flavivirus Co-Circulation.,2021,10.3390/pathogens10121558,34959513,"Pathogens (Basel, Switzerland)","The RT-qPCR method remains the gold standard and first-line diagnostic method for the detection of SARS-CoV-2 and flaviviruses, especially in the early stage of viral infection. Rapid and accurate viral detection is a starting point in the containment of the COVID-19 pandemic and flavivirus outbreaks. However, the shortage of diagnostic reagents and supplies, especially in resource-limited countries that experience co-circulation of SARS-CoV-2 and flaviviruses, are limitations that may result in lesser availability of RT-qPCR-based diagnostic tests. In this study, the utility of RNA-free extraction methods was assessed for the direct detection of SARS-CoV-2 and DENV-2 in heat-inactivated or chemical-inactivated samples. The findings demonstrate that direct real-time RT-qPCR is a feasible option in comparison to conventional real-time RT-qPCR based on viral genome extraction-based methods. The utility of heat-inactivation and direct real-time RT-qPCR for SARS-CoV-2, DENV-2 viral RNA detection was demonstrated by using clinical samples of SARS-CoV-2 and DENV-2 and spiked cell culture samples of SARS-CoV-2 and DENV-2. This study provides a simple alternative workflow for flavivirus and SARS-CoV-2 detection that includes heat inactivation and viral RNA extraction-free protocols, with aims to reduce the risk of exposure during processing of SARS-CoV-2 biological specimens and to overcome the supply-chain bottleneck, particularly in resource limited settings with flavivirus co-circulation.",PubMed,2021_pathogens101
Optimizing Release of Nucleic Acids of ,2021,10.3390/ijms222312915,34884719,International journal of molecular sciences,"FTA cards and related products simplify the collection, transport, and transient storage of biological sample fluids. Here, we have compared the yield and quality of DNA and RNA released from seven different FTA cards using seven releasing/extraction methods with eleven experimental eluates. For the validation, dilution series of ",PubMed,2021_ijms22231291
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin.,2021,10.1016/j.isci.2021.102960,34396082,iScience,"Current conventional detection of SARS-CoV-2 involves collection of a patient's sample with a nasopharyngeal swab, storage of the swab during transport in a viral transport medium, extraction of RNA, and quantitative reverse transcription PCR (RT-qPCR). We developed a simplified preparation method using a chelating resin, Chelex, which obviates RNA extraction during viral testing. Direct detection RT-qPCR and digital droplet PCR were compared to the current conventional method with RNA extraction for simulated samples and patient specimens. The heat treatment in the presence of Chelex markedly improved detection sensitivity as compared to heat alone, and lack of RNA extraction shortens the overall diagnostic workflow. Furthermore, the initial sample heating step inactivates SARS-CoV-2 infectivity, thus improving workflow safety. This fast RNA preparation and detection method is versatile for a variety of samples, safe for testing personnel, and suitable for standard clinical collection and testing on high-throughput platforms.",PubMed,2021_jisci2021
"A molecular test based on RT-LAMP for rapid, sensitive and inexpensive colorimetric detection of SARS-CoV-2 in clinical samples.",2021,10.1038/s41598-021-95799-6,34385527,Scientific reports,"Until there is an effective implementation of COVID-19 vaccination program, a robust testing strategy, along with prevention measures, will continue to be the most viable way to control disease spread. Such a strategy should rely on disparate diagnostic tests to prevent a slowdown in testing due to lack of materials and reagents imposed by supply chain problems, which happened at the beginning of the pandemic. In this study, we have established a single-tube test based on RT-LAMP that enables the visual detection of less than 100 viral genome copies of SARS-CoV-2 within 30 min. We benchmarked the assay against the gold standard test for COVID-19 diagnosis, RT-PCR, using 177 nasopharyngeal RNA samples. For viral loads above 100 copies, the RT-LAMP assay had a sensitivity of 100% and a specificity of 96.1%. Additionally, we set up a RNA extraction-free RT-LAMP test capable of detecting SARS-CoV-2 directly from saliva samples, albeit with lower sensitivity. The saliva was self-collected and the collection tube remained closed until inactivation, thereby ensuring the protection of the testing personnel. As expected, RNA extraction from saliva samples increased the sensitivity of the test. To lower the costs associated with RNA extraction, we performed this step using an alternative protocol that uses plasmid DNA extraction columns. We also produced the enzymes needed for the assay and established an in-house-made RT-LAMP test independent of specific distribution channels. Finally, we developed a new colorimetric method that allowed the detection of LAMP products by the visualization of an evident color shift, regardless of the reaction pH.",PubMed,2021_s41598-021-9
SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing.,2021,10.1093/clinchem/hvab132,34286830,Clinical chemistry,"The urgent need for massively scaled clinical testing for SARS-CoV-2, along with global shortages of critical reagents and supplies, has necessitated development of streamlined laboratory testing protocols. Conventional nucleic acid testing for SARS-CoV-2 involves collection of a clinical specimen with a nasopharyngeal swab in transport medium, nucleic acid extraction, and quantitative reverse-transcription PCR (RT-qPCR). As testing has scaled across the world, the global supply chain has buckled, rendering testing reagents and materials scarce. To address shortages, we developed SwabExpress, an end-to-end protocol developed to employ mass produced anterior nares swabs and bypass the requirement for transport media and nucleic acid extraction.",PubMed,2021_hvab132
SARS-CoV-2 detection by extraction-free qRT-PCR for massive and rapid COVID-19 diagnosis during a pandemic in Armenia.,2021,10.1016/j.jviromet.2021.114199,34091213,Journal of virological methods,"COVID-19 pandemic severely impacted the healthcare and economy on a global scale. It is widely recognized that mass testing is an efficient way to contain the spread of SARS-CoV-2 infection as well as aid in the development of informed policies for disease management. However, the current COVID-19 worldwide infection rates increased the demand for rapid and reliable screening of infection. We compared the performance of qRT-PCR in direct heat-inactivated (H), heat-inactivated and pelleted (HC) samples against RNA in a group of 74 subjects (44 positive and 30 negative). Then we compared the sensitivity of HC in a larger group of 196 COVID-19 positive samples. Our study suggests that HC samples show higher accuracy for SARS-CoV-2 detection PCR assay compared to direct H (89 % vs 83 % of the detection in RNA). The sensitivity of detection using direct samples varied depending on the sample transport and storage media as well as the viral loads (as measured by qRT-PCR Ct levels). Altogether, all the data suggest that purified RNA provides more accurate results, however, direct sample testing with qRT-PCR may help to significantly increase testing capacity. Switching to the direct sample testing is justified if the number of tests is doubled at least.",PubMed,2021_jjviromet2
Comparison of SARS-CoV-2 indirect and direct RT-qPCR detection methods.,2021,10.1186/s12985-021-01574-4,34001180,Virology journal,"Sensitive, rapid, and accessible diagnostics continue to be critical to track the COVID-19 pandemic caused by the SARS-CoV-2 virus. RT-qPCR is the gold standard test, and comparison of methodologies and reagents, utilizing patient samples, is important to establish reliable diagnostic pipelines.",PubMed,2021_s12985-021-0
A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection.,2021,10.3389/fcimb.2021.632646,33796478,Frontiers in cellular and infection microbiology,"A major bottleneck in scaling-up COVID-19 testing is the need for sophisticated instruments and well-trained healthcare professionals, which are already overwhelmed due to the pandemic. Moreover, the high-sensitive SARS-CoV-2 diagnostics are contingent on an RNA extraction step, which, in turn, is restricted by constraints in the supply chain. Here, we present CASSPIT (",PubMed,2021_fcimb20216
Comparative effects of viral-transport-medium heat inactivation upon downstream SARS-CoV-2 detection in patient samples.,2021,10.1099/jmm.0.001301,33734960,Journal of medical microbiology,,PubMed,2021_jmm0001301
Extraction-free RT-LAMP to detect SARS-CoV-2 is less sensitive but highly specific compared to standard RT-PCR in 101 samples.,2021,10.1016/j.jcv.2021.104764,33636553,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,"The current scale of public and private testing cannot be expected to meet the emerging need for higher levels of community-level and repeated screening of asymptomatic Canadians for SARS-CoV-2. Rapid point-of-care techniques are increasingly being offered to fill the gap in screening levels required to identify undiagnosed individuals with high viral loads. However, rapid, point-of-care tests often have lower sensitivity in practice. Reverse transcription loop-mediated isothermal amplification (RT-LAMP) for SARS-CoV-2 has proven sensitive and specific and provides visual results in minutes. Using a commercially available kit for RT-LAMP and primer set targetting nucleocapsid (N), we tested a blinded set of 101 archived nasopharyngeal (NP) swab samples with known RT-PCR results. RT-LAMP reactions were incubated at 65 °C for 30 min, using heat-inactivated nasopharyngeal swab sample in viral transport medium, diluted tenfold in water, as input. RT-LAMP agreed with all RT-PCR defined negatives (N = 51), and all positives with cycle threshold (Ct) less than 20 (N = 24), 65% of positives with Ct between 20-30 (N = 17), and no positives with Ct greater than 30 (N = 9). RT-LAMP requires fewer and different core components, so may not compete directly with the mainline testing workflow, preserving precious central laboratory resources for those with the greatest need. Careful messaging must be provided when using less-sensitive tests, so that people are not falsely reassured by negative results, but this caveat must be weighed against the clear benefits of reliably identifying those with high levels of virus in prioritized samples at the point of care.",PubMed,2021_jjcv20211
Extraction-free protocol combining proteinase K and heat inactivation for detection of SARS-CoV-2 by RT-qPCR.,2021,10.1371/journal.pone.0247792,33635936,PloS one,"Real-time reverse transcription PCR (RT-qPCR) is the gold-standard technique for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detection in nasopharyngeal swabs specimens. The analysis by RT-qPCR usually requires a previous extraction step to obtain the purified viral RNA. Unfortunately, RNA extraction constitutes a bottleneck for early detection in many countries since it is expensive, time-consuming and depends on the availability of commercial kits. Here, we describe an extraction-free protocol for SARS-CoV-2 detection by RT-qPCR from nasopharyngeal swab clinical samples in saline solution. The method includes a treatment with proteinase K followed by heat inactivation (PK+HID method). We demonstrate that PK+HID improves the RT-qPCR performance in comparison to the heat-inactivation procedure. Moreover, we show that this extraction-free protocol can be combined with a variety of multiplexing RT-qPCR kits. The method combined with a multiplexing detection kit targeting N and ORF1ab viral genes showed a sensitivity of 0.99 and a specificity of 0.99 from the analysis of 106 positive and 106 negative clinical samples. In conclusion, PK+HID is a robust, fast and inexpensive procedure for extraction-free RT-qPCR determinations of SARS-CoV-2. The National Administration of Drugs, Foods and Medical Devices of Argentina has recently authorized the use of this method.",PubMed,2021_journalpone
Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.,2021,10.1101/2021.01.29.21250790,33532808,medRxiv : the preprint server for health sciences,"Current conventional detection of SARS-CoV-2 involves collection of a patient sample with a nasopharyngeal swab, storage of the swab during transport in a viral transport medium, extraction of RNA, and quantitative reverse transcription PCR (RT-qPCR). We developed a simplified and novel preparation method using a Chelex resin that obviates RNA extraction during viral testing. Direct detection RT-qPCR and digital-droplet PCR was compared to the current conventional method with RNA extraction for simulated samples and patient specimens. The heat-treatment in the presence of Chelex markedly improved detection sensitivity as compared to heat alone, and lack of RNA extraction shortens the overall diagnostic workflow. Furthermore, the initial sample heating step inactivates SARS-CoV-2 infectivity, thus improving workflow safety. This fast RNA preparation and detection method is versatile for a variety of samples, safe for testing personnel, and suitable for standard clinical collection and testing on high throughput platforms.",PubMed,2021_202101292
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens.,2021,10.1016/j.jviromet.2021.114062,33428990,Journal of virological methods,Diagnostic real time reverse transcription PCR (rRT-PCR) is usually done using nucleic acid (NA) purified from the sample. In the SARS-CoV-2 pandemic reagents and utensils for NA purification has been in short supply. This has generated interest in methods that eliminate the need for NA purification.,PubMed,2021_jjviromet2
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR.,2020,10.1038/s41467-020-18611-5,32968075,Nature communications,"Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is commonly diagnosed by reverse transcription polymerase chain reaction (RT-PCR) to detect viral RNA in patient samples, but RNA extraction constitutes a major bottleneck in current testing. Methodological simplification could increase diagnostic availability and efficiency, benefitting patient care and infection control. Here, we describe methods circumventing RNA extraction in COVID-19 testing by performing RT-PCR directly on heat-inactivated or lysed samples. Our data, including benchmarking using 597 clinical patient samples and a standardised diagnostic system, demonstrate that direct RT-PCR is viable option to extraction-based tests. Using controlled amounts of active SARS-CoV-2, we confirm effectiveness of heat inactivation by plaque assay and evaluate various generic buffers as transport medium for direct RT-PCR. Significant savings in time and cost are achieved through RNA-extraction-free protocols that are directly compatible with established PCR-based testing pipelines. This could aid expansion of COVID-19 testing.",PubMed,2020_s41467-020-1
"A novel two-step, direct-to-PCR method for virus detection off swabs using human coronavirus 229E.",2020,10.1186/s12985-020-01405-y,32843049,Virology journal,"Currently, one of the most reliable methods for viral infection detection are polymerase chain reaction (PCR) based assays. This process is time and resource heavy, requiring multiple steps of lysis, extraction, purification, and amplification procedures. Herein, we have developed a method to detect virus off swabs using solely shaker-mill based mechanical lysis and the transfer of the viral lysate directly to a PCR assay for virus detection, bypassing the substantial reagent and time investments required for extraction and purification steps.",PubMed,2020_s12985-020-0
Extraction-free SARS-CoV-2 detection by rapid RT-qPCR universal for all primary respiratory materials.,2020,10.1016/j.jcv.2020.104579,32795959,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,"Fast and reliable detection of SARS-CoV-2 is crucial for efficient control of the COVID-19 pandemic. Due to the high demand for SARS-CoV-2 testing there is a worldwide shortage of RNA extraction reagents. Therefore, extraction-free RT-qPCR protocols are urgently needed.",PubMed,2020_jjcv20201
Comparison of media and standards for SARS-CoV-2 RT-qPCR without prior RNA preparation.,2020,10.1101/2020.08.01.20166173,32793925,medRxiv : the preprint server for health sciences,"Since the emergence of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic, there have been demands on the testing infrastructure that have strained testing capacity. As a simplification of method, we confirm the efficacy of RNA extraction-free RT-qPCR and saline as an alternative patient sample storage buffer. In addition, amongst potential reagent shortages, it has sometimes been difficult to obtain inactivated viral particles. We have therefore also characterized armored SARS-CoV-2 RNA from Asuragen as an alternative diagnostic standard to ATCC genomic SARS-CoV-2 RNA and heat inactivated virions and provide guidelines for its use in RT-qPCR.",PubMed,2020_202008012
Rapid Direct Nucleic Acid Amplification Test without RNA Extraction for SARS-CoV-2 Using a Portable PCR Thermocycler.,2020,10.3390/genes11060664,32570810,Genes,"There is an ongoing worldwide coronavirus disease 2019 (Covid-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). At present, confirmatory diagnosis is by reverse transcription polymerase chain reaction (RT-PCR), typically taking several hours and requiring a molecular laboratory to perform. There is an urgent need for rapid, simplified, and cost-effective detection methods. We have developed and analytically validated a protocol for direct rapid extraction-free PCR (DIRECT-PCR) detection of SARS-CoV-2 without the need for nucleic acid purification. As few as six RNA copies per reaction of viral nucleocapsid (N) gene from respiratory samples such as sputum and nasal exudate can be detected directly using our one-step inhibitor-resistant assay. The performance of this assay was validated on a commercially available portable PCR thermocycler. Viral lysis, reverse transcription, amplification, and detection are achieved in a single-tube homogeneous reaction within 36 min. This minimizes hands-on time, reduces turnaround-time for sample-to-result, and obviates the need for RNA purification reagents. It could enable wider use of Covid-19 testing for diagnosis, screening, and research in countries and regions where laboratory capabilities are limiting.",PubMed,2020_genes1106066
Survival of Mycobacterium avium subspecies paratuberculosis in retail pasteurised milk.,2018,10.1016/j.fm.2018.03.004,29706338,Food microbiology,"A survey of retail purchased semi-skimmed pasteurised milk (n = 368) for Mycobacterium avium subspecies paratuberculosis (MAP) was conducted between May 2014 and June 2015 across the midlands of England using the Phage-PCR assay. Overall, 10.3% of the total samples collected contained viable MAP cells, confirming that pasteurisation is not capable of fully eliminating human exposure to viable MAP through milk. Comparison of the results gained using the Phage-PCR assay with the results of surveys using either culture or direct PCR suggest that the phage-PCR assay is able to detect lower numbers of cells, resulting in an increase in the number of MAP-positive samples detected. Comparison of viable count and levels of MAP detected in bulk milk samples suggest that MAP is not primarily introduced into the milk by faecal contamination but rather are shed directly into the milk within the udder. In addition results detected an asymmetric distribution of MAP exists in the milk matrix prior to somatic cell lysis, indicating that the bacterial cells in naturally contaminated milk are clustered together and may primarily be located within somatic cells. These latter two results lead to the hypothesis that intracellular MAP within the somatic cells may be protected against heat inactivation during pasteurisation, accounting for the presence of low levels of MAP detected in retail milk.",PubMed,2018_jfm201803
Simplifying Nucleic Acid Amplification from Whole Blood with Direct Polymerase Chain Reaction on Chitosan Microparticles.,2017,10.1021/acs.analchem.7b00274,28245111,Analytical chemistry,"Tremendous advances have been made in the development of portable nucleic acid amplification devices for near-patient use. However, the true limitation in the realization of nucleic acid amplification tests (NAATs) for near-patient applications is not the amplification reaction, it is the complexity of the sample preparation. Conventional approaches require several precise intervention steps during the protocol. There are numerous reports in the literature that mimic the sample preparation procedure within a lab-on-a-chip device or cartridge, but these systems require a high number of integrated steps, making the devices and/or their supporting equipment too complex to meet the necessary cost targets and regulatory requirements for near-patient applications. Here we report a simplified method to purify and amplify DNA from complex samples in a minimal number of steps. We show that chitosan-coated microparticles can lyse human cells and capture the released DNA in a single mechanical agitation step, and we show that bound DNA can be amplified directly from the microparticle surface when the magnetic microparticles are transferred to a polymerase chain reaction (PCR). This procedure eliminates (i) the use of PCR-inhibiting reagents (e.g., chaotropic salts and alcohol) and (ii) the washing and elution steps that are required to remove these reagents and release DNA in typical NAAT sample preparation methods. To illustrate the use of this direct PCR method in diagnostics, we amplify human genomic DNA sequences from a ∼1 μL droplet of whole blood, and we amplify plasmid DNA spiked into whole blood droplets to represent circulating viral DNA or cell-free DNA. The qPCR threshold cycle for direct PCR from whole blood is comparable to that of direct PCR with purified DNA, demonstrating that the lysis and capture steps effectively bind DNA and sufficiently enable its amplification. Furthermore, the efficient amplification of plasmid DNA spiked into whole blood proves that the large mass of human genomic DNA captured from the lysed cells does not inhibit the capture and amplification of other circulating DNA. We anticipate that this new streamlined method for preparing DNA for amplification will expand the diagnostic applications of nucleic acid amplification tests, in particular for near-patient applications.",PubMed,2017_acsanalchem
A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta.,2014,10.1111/lam.12196,24261838,Letters in applied microbiology,"We have developed a simple method of direct PCR (dPCR) without time-consuming procedures of DNA extraction by directly using the leaf bits for rapid detection of begomoviruses in jute and mesta. The leaf bits were treated with a lysis buffer for 35 min, and the lysate was used as PCR template. Different components and their concentration in lysis buffer systems were optimized and the optimal buffer system composed of 20 mmol l(-1) tris (hydroxymethyl aminomethane (Tris)-Cl (pH 8·0), 1·5 mmol l(-1) ethylenediaminetetraacetic acid (EDTA) (pH 8·0), 1·4 mol l(-1) NaCl and 200 μg/mL Proteinase K. Further, 3% PVP (w/v) and β-marcaptoethanol (1% v/v) were additionally added into the buffer in case of jute. Under optimized PCR conditions, both viral DNA as well as plant (jute and mesta) genomic DNA were amplified from the lysate. dPCR required fewer reagents and less incubation time reducing both time and cost of detection.",PubMed,2014_lam12196
