Title,Year,DOI,PMID,Journal,Abstract,Source
Identification of protein interacting partners using tandem affinity purification.,2012,10.3791/3643,22395237,Journal of visualized experiments : JoVE,"A critical and often limiting step in understanding the function of host and viral proteins is the identification of interacting cellular or viral protein partners. There are many approaches that allow the identification of interacting partners, including the yeast two hybrid system, as well as pull down assays using recombinant proteins and immunoprecipitation of endogenous proteins followed by mass spectrometry identification(1). Recent studies have highlighted the utility of double-affinity tag mediated purification, coupled with two specific elution steps in the identification of interacting proteins. This approach, termed Tandem Affinity Purification (TAP), was initially used in yeast(2,3) but more recently has been adapted to use in mammalian cells(4-8). As proof-of-concept we have established a tandem affinity purification (TAP) method using the well-characterized eukaryotic translation initiation factor eIF4E(9,10).The cellular translation factor eIF4E is a critical component of the cellular eIF4F complex involved in cap-dependent translation initiation(10). The TAP tag used in the current study is composed of two Protein G units and a streptavidin binding peptide separated by a Tobacco Etch Virus (TEV) protease cleavage sequence. The TAP tag used in the current study is composed of two Protein G units and a streptavidin binding peptide separated by a Tobacco Etch Virus (TEV) protease cleavage sequence(8). To forgo the need for the generation of clonal cell lines, we developed a rapid system that relies on the expression of the TAP-tagged bait protein from an episomally maintained plasmid based on pMEP4 (Invitrogen). Expression of tagged murine eIF4E from this plasmid was controlled using the cadmium chloride inducible metallothionein promoter. Lysis of the expressing cells and subsequent affinity purification via binding to rabbit IgG agarose, TEV protease cleavage, binding to streptavidin linked agarose and subsequent biotin elution identified numerous proteins apparently specific to the eIF4E pull-down (when compared to control cell lines expressing the TAP tag alone). The identities of the proteins were obtained by excision of the bands from 1D SDS-PAGE and subsequent tandem mass spectrometry. The identified components included the known eIF4E binding proteins eIF4G and 4EBP-1. In addition, other components of the eIF4F complex, of which eIF4E is a component were identified, namely eIF4A and Poly-A binding protein. The ability to identify not only known direct binding partners as well as secondary interacting proteins, further highlights the utility of this approach in the characterization of proteins of unknown function.",PubMed
"Anti-Trichomonas vaginalis activity of saponins from Quillaja, Passiflora, and Ilex species.",2012,10.1007/s00436-011-2798-1,22218924,Parasitology research,"Trichomonas vaginalis is a flagellated protozoan that causes trichomonosis, the most prevalent non-viral STD worldwide. The pathogen has been associated with serious health consequences including predisposition to cervical cancer and adverse pregnancy outcomes and infertility. It also acts as a co-factor in HIV transmission and acquisition. The 5-nitroimidazole drugs are used in the treatment, however, treatment noncompliance is observed, and a growing number of T. vaginalis isolates resistant to the drugs have been related. Saponins are natural products possessing many biological activities such as antiprotozoan activity. The aim of this study was to evaluate the anti-T. vaginalis activity of saponins from Quillaja, Passiflora, and Ilex species. Saponins from Passiflora alata and Quillaja saponaria presented the best anti-T. vaginalis activity (MIC = 0.025%). In addition, all samples induced erythrocyte lysis and LDH release. As far as we know, this is the first report demonstrating the potential anti-T. vaginalis activity of these saponins.",PubMed
Lytic myophage Abp53 encodes several proteins similar to those encoded by host Acinetobacter baumannii and phage phiKO2.,2011,10.1128/AEM.05116-11,21821767,Applied and environmental microbiology,"Acinetobacter baumannii is an important Gram-negative opportunistic pathogen causing nosocomial infections. The emergence of multiple-drug-resistant A. baumannii isolates has increased in recent years. Directed toward phage therapy, a lytic phage of A. baumannii, designated Abp53, was isolated from a sputum sample in this study. Abp53 has an isometric head and a contractile tail with tail fibers (belonging to Myoviridae), a latent period of about 10 min, and a burst size of approximately 150 PFU per infected cell. Abp53 could completely lyse 27% of the A. baumannii isolates tested, which were all multiple drug resistant, but not other bacteria. Mg(2+) enhanced the adsorption and productivity of, and host lysis by, Abp53. Twenty Abp53 virion proteins were visualized in SDS-polyacrylamide gel electrophoresis, with a 47-kDa protein being the predicted major capsid protein. Abp53 has a double-stranded DNA genome of 95 kb. Sequence analyses of a 10-kb region revealed 8 open reading frames. Five of the encoded proteins, including 3 tail components and 2 hypothetical proteins, were similar to proteins encoded by A. baumannii strain ACICU. ORF1176 (one of the tail components, 1,176 amino acids [aa]), which is also similar to tail protein gp21 of Klebsiella phage phiKO2, contained repeated domains similar to those within the ACICU_02717 protein of A. baumannii ACICU and gp21. These findings suggest a common ancestry and horizontal gene transfer during evolution. As phages can expand the host range by domain duplication in tail fiber proteins, repeated domains in ORF1176 might have a similar significance in Abp53.",PubMed
Factors influencing lysis time stochasticity in bacteriophage λ.,2011,10.1186/1471-2180-11-174,21810267,BMC microbiology,"Despite identical genotypes and seemingly uniform environments, stochastic gene expression and other dynamic intracellular processes can produce considerable phenotypic diversity within clonal microbes. One trait that provides a good model to explore the molecular basis of stochastic variation is the timing of host lysis by bacteriophage (phage).",PubMed
Role of DLP12 lysis genes in Escherichia coli biofilm formation.,2011,10.1099/mic.0.045161-0,21415116,"Microbiology (Reading, England)","Phages have recently been implicated as important in biofilm development, although the mechanisms whereby phages impact biofilms remain unclear. One defective lambdoid phage carried by Escherichia coli K-12 is DLP12. Among the genes found in DLP12 are essD, ybcS and rzpD/rzoD, which are homologues of the Lambda phage genes encoding cell-lysis proteins (S, R and Rz/Rz(1)). The role that these DLP12 lysis genes play in biofilm formation was examined in deletion mutants of E. coli PHL628, a curli-overproducing, biofilm-forming K-12 derivative. Strains lacking essD, ybcS and rzpD/rzoD were unable to form wild-type biofilms. While all mutants were compromised in attachment to abiotic surfaces and aggregated less well than the wild-type, the effect of the essD knockout on biofilm formation was less dramatic than that of deleting ybcS or rzpD/rzoD. These results were consistent with electron micrographs of the mutants, which showed a decreased number of curli fibres on cell surfaces. Also consistent with this finding, we observed that expression from the promoter of csgB, which encodes the curli subunits, was downregulated in the mutants. As curli production is transcriptionally downregulated in response to cell wall stress, we challenged the mutants with SDS and found them to be more sensitive to the detergent than the wild-type. We also examined the release of (14)C-labelled peptidoglycan from the mutants and found that they did not lose labelled peptidoglycan to the same extent as the wild-type. Given that curli production is known to be suppressed by N-acetylglucosamine 6-phosphate (NAG-6P), a metabolite produced during peptidoglycan recycling, we deleted nagK, the N-acetylglucosamine kinase gene, from the lysis mutants and found that this restored curli production. This suggested that deletion of the lysis genes affected cell wall status, which was transduced to the curli operon by NAG-6P via an as yet unknown mechanism. These observations provide evidence that the S, R and Rz/Rz(1) gene homologues encoded by DLP12 are not merely genetic junk, but rather play an important, though undefined, role in cell wall maintenance.",PubMed
Expression and purification of a functional human hepatitis B virus polymerase.,2010,10.3748/wjg.v16.i45.5752,21128327,World journal of gastroenterology,To identify a method for efficient large-scale purification of functional hepatitis B virus polymerase (HBV-Pol) without addition of cellular factors.,PubMed
Strand transfer and elongation of HIV-1 reverse transcription is facilitated by cell factors in vitro.,2010,10.1371/journal.pone.0013229,20949087,PloS one,"Recent work suggests a role for multiple host factors in facilitating HIV-1 reverse transcription. Previously, we identified a cellular activity which increases the efficiency of HIV-1 reverse transcription in vitro. Here, we describe aspects of the activity which shed light on its function. The cellular factor did not affect synthesis of strong-stop DNA but did improve downstream DNA synthesis. The stimulatory activity was isolated by gel filtration in a single fraction of the exclusion volume. Velocity-gradient purified HIV-1, which was free of detectable RNase activity, showed poor reverse transcription efficiency but was strongly stimulated by partially purified cell proteins. Hence, the cell factor(s) did not inactivate an RNase activity that might degrade the viral genomic RNA and block completion of reverse transcription. Instead, the cell factor(s) enhanced first strand transfer and synthesis of late reverse transcription suggesting it stabilized the reverse transcription complex. The factor did not affect lysis of HIV-1 by Triton X-100 in the endogenous reverse transcription (ERT) system, and ERT reactions with HIV-1 containing capsid mutations, which varied the biochemical stability of viral core structures and impeded reverse transcription in cells, showed no difference in the ability to be stimulated by the cell factor(s) suggesting a lack of involvement of the capsid in the in vitro assay. In addition, reverse transcription products were found to be resistant to exogenous DNase I activity when the active fraction was present in the ERT assay. These results indicate that the cell factor(s) may improve reverse transcription by facilitating DNA strand transfer and DNA synthesis. It also had a protective function for the reverse transcription products, but it is unclear if this is related to improved DNA synthesis.",PubMed
Lipidomic study of intracellular Singapore grouper iridovirus.,2010,10.1016/j.virol.2010.01.016,20123143,Virology,"Singapore grouper iridoviruses (SGIV) infected grouper cells release few enveloped extracellular viruses by budding and many unenveloped intracellular viruses following cell lysis. The lipid composition and function of such unenveloped intracellular viruses remain unknown. Detergent treatment of the intracellular viruses triggered the loss of viral lipids, capsid proteins and infectivity. Enzymatic digestion of the viral lipids with phospholipases and sphingomyelinase retained the viral capsid proteins but reduced infectivity. Over 220 lipid species were identified and quantified from the viruses and its producer cells by electrospray ionization mass spectrometry. Ten caspid proteins that dissociated from the viruses following the detergent treatments were identified by MALDI-TOF/TOF-MS/MS. Five of them were demonstrated to be lipid-binding proteins. This is the first research detailing the lipidome and lipid-protein interactions of an unenveloped virus. The identified lipid species and lipid-binding proteins will facilitate further studies of the viral assembly, egress and entry.",PubMed
Purification and functional characterization of phiX174 lysis protein E.,2009,10.1021/bi900469g,19379010,Biochemistry,"Two classes of bacteriophages, the single-stranded DNA Microviridae and the single-stranded RNA Alloleviviridae, accomplish lysis by expressing ""protein antibiotics"", or polypeptides that inhibit cell wall biosynthesis. Previously, we have provided genetic and physiological evidence that E, a 91-amino acid membrane protein encoded by the prototype microvirus, varphiX174, is a specific inhibitor of the translocase MraY, an essential membrane-embedded enzyme that catalyzes the formation of the murein precursor, Lipid I, from UDP-N-acetylmuramic acid-pentapeptide and the lipid carrier, undecaprenol phosphate. Here we report the first purification of E, which has been refractory to overexpression because of its lethality to Escherichia coli. Moreover, using a fluorescently labeled analogue of the sugar-nucleotide substrate, we demonstrate that E acts as a noncompetitive inhibitor of detergent-solubilized MraY, with respect to both soluble and lipid substrates. In addition, we show that the E sensitivity of five MraY mutant proteins, produced from alleles selected for resistance to E, can be correlated to the apparent affinities determined by in vivo multicopy suppression experiments. These results are inconsistent with previous reports that E inhibited membrane-embedded MraY but not the detergent-solubilized enzyme, which led to a model in which E functions by binding MraY and blocking the formation of an essential heteromultimeric complex involving MraY and other murein biosynthesis enzymes. We discuss a new model in which E binds to MraY at a site composed of the two transmembrane domains within which the E resistance mutations map and the fact that the result of this binding is a conformational change that inactivates the enzyme.",PubMed
Identification and characterization of the two-component cell lysis cassette encoded by temperate bacteriophage phiPYB5 of Lactobacillus fermentum.,2008,10.1111/j.1365-2672.2008.03953.x,19120640,Journal of applied microbiology,"To characterize the two-component cell lysis cassette comprised of holin (Hyb5) and endolysin (Lyb5) encoded by Lactobacillus fermentum temperate bacteriophage phiPYB5, and illustrate the potential application of Lyb5 as therapeutic agents.",PubMed
Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation.,2009,10.1016/j.jviromet.2008.11.017,19103224,Journal of virological methods,"Methods for the isolation of DNA from cell-associated herpesviruses have often yielded samples contaminated with host cellular DNA. Because 2nd and 3rd generation nucleotide sequencers do not rely on molecular cloning of viral DNA, there is a need to develop methods for isolating highly pure DNA from these viruses. The cell-associated alphaherpesvirus Marek's disease virus (MDV-1) was chosen as a test virus for the development of such methodologies. The genomes of six MDV-1 strains have previously been sequenced using both Sanger dideoxy sequencing and 454 Life Sciences pyrosequencing. These genomes largely represent cell culture adapted strains due to the difficulty in obtaining large quantities of DNA from true low passage isolates. There are clear advantages in analyzing MDV-1 virus taken directly from infected tissues or low passage isolates since serial passage attenuates the virus. Procedures using an ATP-dependent exonuclease and Phi29 DNA polymerase to degrade host DNA selectively and amplify MDV-1 DNA enzymatically from total DNA preps were attempted without much success. Ultimately, however, a protocol was developed for purification of low passage MDV-1 DNA from infected avian fibroblasts. The method builds upon and extends available protocols based on hypotonic lysis to release virus particles followed by micrococcal nuclease treatment to degrade cellular DNA. Intact high-molecular weight viral DNA is purified away from an excess of degraded cellular DNA using polyethylene glycol precipitation. 454-based pyrosequencing of viral DNA purified in this manner has generated data containing as little as 2.3% host sequence. On average, DNA preparations were 70% (+/-20%) pure yielding a genome coverage range of 25-74-fold.",PubMed
The holin of bacteriophage lambda forms rings with large diameter.,2008,10.1111/j.1365-2958.2008.06298.x,18788120,Molecular microbiology,"Holins control the length of the infection cycle of tailed phages (the Caudovirales) by oligomerizing to form lethal holes in the cytoplasmic membrane at a time dictated by their primary structure. Nothing is currently known about the physical basis of their oligomerization or the structure of the oligomers formed by any known holin. Here we use electron microscopy and single-particle analysis to characterize structures formed by the bacteriophage lambda holin (S105) in vitro. In non-ionic or mild zwitterionic detergents, purified S105, but not the lysis-defective variant S105A52V, forms rings of at least two size classes, the most common having inner and outer diameters of 8.5 and 23 nm respectively, and containing approximately 72 S105 monomers. The height of these rings, 4 nm, closely matches the thickness of the lipid bilayer. The central channel is of unprecedented size for channels formed by integral membrane proteins, consistent with the non-specific nature of holin-mediated membrane permeabilization. S105 present in detergent-solubilized rings and in inverted membrane vesicles showed similar sensitivities to proteolysis and cysteine-specific modification, suggesting that the rings are representative of the lethal holes formed by S105 to terminate the infection cycle and initiate lysis.",PubMed
Ingestion without inactivation of bacteriophages by Tetrahymena.,2008,10.1111/j.1550-7408.2008.00316.x,18460158,The Journal of eukaryotic microbiology,"Tetrahymena has been shown to ingest and inactivate bacteriophages, such as T4, in co-incubation experiments. In this study, Tetrahymena thermophila failed to inactivate phages PhiX174 and MS2 in co-incubations, although PhiX174 were ingested by T. thermophila, as demonstrated by: (1) recovery at defecation in a pulse-chase experiment, (2) recovery from Tetrahymena by detergent lysis, and (3) transmission electron microscopy. We conclude, therefore, that the phages must be digestion-resistant. Internalized PhiX174 were further shown to be partially protected from lethal damage by ultraviolet (UV) C and UVB irradiation. Finally, ingested PhiX174 were shown to be rapidly transported through buffer in a horizontal swimming, race tube-like assay. The transport and protection of phages may confer evolutionary advantages that explain the acquisition of digestion-resistance by some phages.",PubMed
A simplified method for the extraction of baculoviral DNA for PCR analysis: a practical application.,2008,10.1016/j.jviromet.2007.11.004,18242721,Journal of virological methods,"There are two major strategies to genetically modify baculoviruses. One uses a bacmid-based system which replicates in Escherichia coli using a bacterial origin of replication. The other employs a transfer vector and viral DNA which are co-transfected into insect cells and utilise host enzyme-mediated homologous recombination. Putative recombinants are then typically screened by plaque assay. The bacmid system is more convenient, but it requires a number of complex construction and isolation steps to obtain the correct bacmid genome. Generally, the transfer vector method is preferable when only a small number of genetic modifications are required. In this study a rapid and reliable method was developed to extract baculovirus DNA for PCR analysis from cultured insect cells. Briefly, viral DNA was isolated in three steps: SDS lysis, chloroform extraction and ethanol precipitation. The method was tested for direct screening of recombinant viruses in plaque assays. Contrary to previous reports, baculovirus DNA was isolated directly from viral plaques and successfully analysed by PCR. No prior amplification of the virus by passage in tissue culture was necessary. The major advantage of this method was a reduction in assay times from a few days to a few hours. Moreover, this method is very convenient for detecting baculoviruses in cell culture: cross-contamination within viral stocks, monitoring mixed viral infection and confirmation of viral genomic integrity.",PubMed
Specific and efficient cleavage of fusion proteins by recombinant plum pox virus NIa protease.,2008,10.1016/j.pep.2007.10.008,18024078,Protein expression and purification,"Site-specific proteases are the most popular kind of enzymes for removing the fusion tags from fused target proteins. Nuclear inclusion protein a (NIa) proteases obtained from the family Potyviridae have become promising due to their high activities and stringencies of sequences recognition. NIa proteases from tobacco etch virus (TEV) and tomato vein mottling virus (TVMV) have been shown to process recombinant proteins successfully in vitro. In this report, recombinant PPV (plum pox virus) NIa protease was employed to process fusion proteins with artificial cleavage site in vitro. Characteristics such as catalytic ability and affecting factors (salt, temperature, protease inhibitors, detergents, and denaturing reagents) were investigated. Recombinant PPV NIa protease expressed and purified from Escherichia coli demonstrated efficient and specific processing of recombinant GFP and SARS-CoV nucleocapsid protein, with site F (N V V V H Q black triangle down A) for PPV NIa protease artificially inserted between the fusion tags and the target proteins. Its catalytic capability is similar to those of TVMV and TEV NIa protease. Recombinant PPV NIa protease reached its maximal proteolytic activity at approximately 30 degrees C. Salt concentration and only one of the tested protease inhibitors had minor influences on the proteolytic activity of PPV NIa protease. Recombinant PPV NIa protease was resistant to self-lysis for at least five days.",PubMed
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula.,2007,10.1016/j.ijfoodmicro.2006.10.029,17196280,International journal of food microbiology,"Reconstituted infant formula has been implicated in outbreaks of Enterobacter sakazakii infections, causing high mortality and serious sequelae. Current prevention methods appear to be insufficient to ensure that such foods are free of E. sakazakii. In this study, the usefulness of bacteriophages for biocontrol of E. sakazakii was investigated. Of a total of six new E. sakazakii phages isolated from sewage and UV irradiated cultures, two were selected for further study by electron microscopy, DNA restriction analysis and SDS-PAGE of structural proteins. Purified phages were used to control bacterial growth in broth medium and reconstituted infant formula. Both phages effectively prevented development of E. sakazakii in formula at various temperatures (12, 24 and 37 degrees C), the efficiency of which was dependent upon intrinsic lysis properties and the applied phage concentration. We conclude that application of specific bacteriophages may provide a means for efficient prevention of E. sakazakii infection through reconstituted infant formula.",PubMed
"Mammalian reovirus, a nonfusogenic nonenveloped virus, forms size-selective pores in a model membrane.",2006,10.1073/pnas.0605835103,17053074,Proceedings of the National Academy of Sciences of the United States of America,"During cell entry, reovirus particles with a diameter of 70-80 nm must penetrate the cellular membrane to access the cytoplasm. The mechanism of penetration, without benefit of membrane fusion, is not well characterized for any such nonenveloped animal virus. Lysis of RBCs is an in vitro assay for the membrane perforation activity of reovirus; however, the mechanism of lysis has been unknown. In this report, osmotic-protection experiments using PEGs of different sizes revealed that reovirus-induced lysis of RBCs occurs osmotically, after formation of small size-selective lesions or ""pores."" Consistent results were obtained by monitoring leakage of fluorophore-tagged dextrans from the interior of resealed RBC ghosts. Gradient fractionations showed that whole virus particles, as well as the myristoylated fragment mu1N that is released from particles, are recruited to RBC membranes in association with pore formation. We propose that formation of small pores is a discrete, intermediate step in the reovirus membrane-penetration pathway, which may be shared by other nonenveloped animal viruses.",PubMed
Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures.,2006,10.1016/j.biologicals.2005.11.008,16500115,Biologicals : journal of the International Association of Biological Standardization,"Biopharmaceutical products produced from cell cultures have a potential for viral contamination from cell sources or from adventitious introduction during production. The objective of this study was to assess viral clearance in the production of insect cell-derived recombinant human papillomavirus (HPV)-16 type L1 virus-like particles (VLPs). We selected Japanese encephalitis virus (JEV), bovine viral diarrhea virus (BVDV), and minute virus of mice (MVM) as relevant viruses to achieve the aim of this study. A downstream process for the production of purified HPV-16 L1 VLPs consisted of detergent lysis of harvested cells, sonication, sucrose cushion centrifugation, and cesium chloride (CsCl) equilibrium density centrifugation. The capacity of each purification/treatment step to clear viruses was expressed as reduction factor by measuring the difference in log virus infectivity of sample pools before and after each process. As a result, detergent treatment (0.5% v/v, Nonidet P-40/phosphate-buffered saline) was effective for inactivating enveloped viruses such as JEV and BVDV, but no significant reduction (< 1.0 log(10)) was observed in the non-enveloped MVM. The CsCl equilibrium density centrifugation was fairly effective for separating all three relevant adventitious viruses with different CsCl buoyant density from that of HPV-16 L1 VLPs (JEV, BVDV, and MVM = 4.30, 3.10, > or = 4.40 log(10) reductions). Given the study conditions we used, overall cumulative reduction factors for clearance of JEV, BVDV, and MVM were > or = 10.50, > or = 9.20, and > or = 6.40 log(10) in 150 ml of starting cell cultures, respectively.",PubMed
Improved HIV-1 viral load determination based on reverse transcriptase activity recovered from human plasma.,2005,10.1002/jmv.20360,15902697,Journal of medical virology,"A more sensitive version of ExaVir Load, a test that utilizes reverse transcriptase (RT) activity from virions in plasma to determine HIV-1 viral load, is described. The virions were immobilized on a gel that was washed, followed by lysis of the virions, elution of purified RT, and finally RT activity determination. The changes made to the original test were: (1) improved washing of the immobilized virions by addition of a non-lytic detergent to the wash buffer, (2) improved virion lysis procedure, including changes in salt, detergent and pH, (3) the use of larger sample volumes in the RT assay, and (4) prolonged RT reaction time. The alterations gave a tenfold increased sensitivity compared to the original version. The correlation between RT load by the current test and RNA PCR was the same as previously (r=0.90). Using colorimetric product detection, the average detection limit in a panel of 262 patient plasma from Stockholm was 0.5 fg RT/ml, corresponding to approximately 170 RNA copies/ml. None of 54 HIV-1 RNA negative samples exhibited RT. The amount of RT load positive samples were 19% for samples containing 50-400 RNA, 71% for samples with 400-1,500, and 100% among samples with >8,000 copies/ml (according to Roche Amplicor). The sensitivity could be increased further using fluorimetric detection. In conclusion, the modifications of the test described result in an important increase in sensitivity. It can now be regarded as a competitive alternative method for HIV viral load determinations.",PubMed
Evaluation of photolyase (Photosome) repair activity in human keratinocytes after a single dose of ultraviolet B irradiation using the comet assay.,2005,10.1016/j.jphotobiol.2004.11.022,15878115,"Journal of photochemistry and photobiology. B, Biology","Photosome is constituted of photolyases included in liposomes. Photolyase is a bacterial enzyme that can repair ultraviolet B (UVB)-induced cyclobutane pyrimidine dimers (CPD) in eukaryotic cells. A modified version of the alkaline comet assay has been set up to evaluate the repair activity of this enzyme after a single dose of UVB (312 nm, 0.06 J/cm2) in human keratinocytes. The formation of single strand breaks (SSB) induced by the UVA photoactivation of the enzyme (1.2 J/cm2) was inhibited by the pretreatment of the cells with 4 mM L-ergothioneine (ERT) during 30 min at 37 degrees C. To increase the sensitivity of the comet assay, an additional lysis was used with a buffer containing sodium dodecyl sulfate (0.5%) and proteinase K (0.1 mg/ml) for 60 min at 37 degrees C. Unrepaired CPD by photolyase were revealed by a second enzymatic treatment with T4 endonuclease V, a CPD specific glycosylase. UVB irradiation increased the SSB level in keratinocytes and additional T4NV treatment enhanced this SSB level by 1.5-2.0-fold confirming that CPD were the major base modifications generated by UVB irradiation. UVA-photoactivated Photosome repaired CPD lesions and decreased the SSB levels by 2.6-3.3-fold. Photosome could be an additional component of sunscreens to reduce the development of skin cancer.",PubMed
Viral membrane penetration: lytic activity of a nodaviral fusion peptide.,2005,10.1007/s00249-004-0450-z,15834560,European biophysics journal : EBJ,"The auto-cleavage product from the C-terminal part of the capsid protein of the flock house virus, namely the gamma(1) peptide, was used as a model peptide to characterize the initial steps of viral membrane penetration. Monolayers at the air-water interface were used to investigate the phase behaviour of ternary lipid-peptide mixtures, whereas solid-supported membranes were used to visualize the lytic activity of the gamma(1) peptide. 1,2-Dipalmitoyl-sn-glycero-phospatidylcholine/1,2-dipalmitoyl-sn-glycero-phospatidylserine (4:1) membranes were used as negatively charged model membranes. By means of film balance techniques lipid/peptide discrimination was found resulting in a lipid-rich and a peptide-rich phase. Quartz crystal microbalance and scanning force microscopy experiments led to the conclusion of a detergent-like mechanism of the gamma(1) peptide resulting in mixed lipid-peptide micelles with a molar ratio of 2.8:1. A monolayer adsorption with an ongoing lysis of membranes was found with gamma(1) peptide molecules interacting at membrane defects.",PubMed
Influences of chitinase gene deletion from BmNPV on the cell lysis and host liquefaction.,2005,10.1007/s00705-004-0458-9,15614431,Archives of virology,"A Bombyx mori nucleopolyhedrovirus (BmNPV) mutant with chi- tinase gene (chiA) deletion (BmchiA-) was constructed. The effects of chiA deletion on virus infected BmN cells and silkworm larvae were examined. The egfp gene expression under the control of the chiA promoter, in BmchiA- -infected BmN cells could be detected as early as 8 h p.i. The fluorescence reached its peak at 48 h p.i., and was prevalent until the cell lysis. Cytopathological comparison of the cells infected with wild type and mutant viruses showed that deletion of chiA could evidently delay the cell lysis. SDS-PAGE analysis suggested that the content of polyhedrin in BmchiA- -infected cells at 7 days p.i. was about 28% of the total cellular proteins, about 7% lower than that in wild-type BmNPV virus-infected cells. The symptoms of B. mori larvae infected with BmchiA- were different from those of wild-type BmNPV-infected larvae, e.g., clear haemolymph and less degradation of the body after larval death.",PubMed
Solubilization and delivery by GroEL of megadalton complexes of the lambda holin.,2004,10.1110/ps.04735104,15215521,Protein science : a publication of the Protein Society,"GroEL can solubilize membrane proteins by binding them in its hydrophobic cavity when detergent is removed by dialysis. The best-studied example is bacteriorhodopsin, which can bind in the GroEL chaperonin at two molecules per tetradecamer. Applying this approach to the holin and antiholin proteins of phage lambda, we find that both proteins are solubilized by GroEL, in an ATP-sensitive mode, but to vastly different extents. The antiholin product, S107, saturates the chaperonin at six molecules per tetradecameric complex, whereas the holin, S105, which is missing the two N-terminal residues of S107, forms a hyper-solubilization complex with up to 350 holin molecules per GroEL, or approximately 4 MDa of protein per 0.8 MDa tetradecamer. Gel filtration chromatography and immunoprecipitation experiments confirmed the existence of complexes of the predicted masses for both S105 and S107 solubilization. For S105, negatively stained electron microscopic images show structures consistent with protein shells of the holin assembled around the chaperonin tetradecamer. Importantly, S105 can be delivered rapidly and efficiently to artificial liposomes from these complexes. In these delivery experiments, the holin exhibits efficient membrane-permeabilizing activity. The S107 antiholin can block formation of the hypersolubilization complexes, suggesting that their formation is related to an oligomerization step intrinsic to holin function.",PubMed
Decontamination of surfaces by lysozyme encapsulated in reverse micelles.,2004,10.1016/j.jchromb.2004.02.010,15177166,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences","Cells and enzymes can be used to decontaminate soil, water supplies, personal equipment, weapons and hospital equipment that have been exposed to bacteria, toxins or viruses. One of the problems associated with the use of microorganisms and enzymes for decontamination purposes is that the presence of water is not acceptable for some applications such as electronic equipment. One way of circumventing this problem is to allow the enzyme to distribute between a water phase and an organic phase-containing surfactant and then use the encapsulated enzyme in reverse micelles directly into the device to be clean. Reverse micelles were used to deliver the enzyme (lysozyme) to the cell-surface interface. They serve as a way to increase the local concentration of lysozyme and decrease the amount of water delivered. Specifically, we explored the lysis by free lysozyme and lysozyme encapsulated in reverse micelles of Klebsiella pneumoniae and Staphylococcus epidermidis attached to steel, glass, and hydroxyapatite. These two bacteria have been selected because they are known to be pathogenic and because of their differences in cell wall structure. Lysozyme was added to the surfaces in either reverse micelles or as a free solution and was tested under conditions of stirring and no stirring. Stirring was implemented to study the interplay between mass transfer limitations and surface roughness. We have shown that free lysozyme or lysozyme encapsulated in reverse micelles is capable of decontaminating surfaces of different texture. Lysis of the cells is slower when the encapsulated enzyme is used but lysis is more complete.",PubMed
Rotavirus RRV associates with lipid membrane microdomains during cell entry.,2004,10.1016/j.virol.2004.02.018,15110534,Virology,"Rotavirus cell entry is a multistep process, not completely understood, which requires at least four interactions between the virus and cell surface molecules. In this work, we investigated the role of the sphingolipid- and cholesterol-enriched lipid microdomains (rafts) in the entry of rotavirus strain RRV to MA104 cells. We found that ganglioside GM1, integrin subunits alpha2 and beta3, and the heat shock cognate protein 70 (hsc70), all of which have been implicated as rotavirus receptors, are associated with TX-100 and Lubrol WX detergent-resistant membranes (DRMs). Integrin subunits alpha2 and beta3 were found to be particularly enriched in DRMs resistant to lysis by Lubrol WX. When purified RRV particles were incubated with cells at 4 degrees C, about 10% of the total infectious virus was found associated with DRMs, and the DRM-associated virus increased to 37% in Lubrol-resistant membrane domains after 60-min incubation at 37 degrees C. The virus was excluded from DRMs if the cells were treated with methyl-beta-cyclodextrin (MbetaCD). Immunoblot analysis of the viral proteins showed that the virus surface proteins became enriched in DRMs upon incubation at 37 degrees C, being almost exclusively localized in Lubrol-resistant DRMs after 60 min. These data suggest that detergent-resistant membrane domains play an important role in the cell entry of rotaviruses, which could provide a platform to facilitate the efficient interaction of the rotavirus receptors with the virus particle.",PubMed
