method,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
"other:No sample-preparation/DNA-extraction protocol described on the provided pages (these pages contain references and a publisher disclaimer only; Microorganisms 2024, 12, 1285, pp. 19–21 of 21).",1,0.0,0.0,0000 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:No sample-preparation protocol described on the provided pages (these pages show references/bibliography only; footer indicates pages 20–22/22).,1,0.0,0.0,0000 (1),"Sample-to-answer, extraction-free, real-time RT-LAMP test for SARS-CoV-2 in nasopharyngeal, nasal, and saliva samples: Implications and use for surveillance testing."
other:No sample-preparation protocol described on the provided page (page 12/12 shows references and publisher disclaimer only).,1,0.0,0.0,0000 (1),Development of Aptamers for RNase Inactivation in Xtract-Free™ Sample Collection and Transport Medium
other:No sample-preparation protocol described in the provided page image (page shows references/disclaimer only); extraction-free use is mentioned in title/abstract snippet but procedural details are not present here.,1,0.0,0.0,0000 (1),Extraction-Free Detection of SARS-CoV-2 Viral RNA Using LumiraDx’s RNA Star Complete Assay from Clinical Nasal Swabs Stored in a Novel Collection and Transport Medium
"other:No explicit sample-preparation protocol described on provided pages; only high-level discussion of approaches (e.g., bacteria capture, lysis, RNA amplification/NASBA) and device concepts.",1,0.0,0.0,0000 (1),"Development of Innovative Microfluidic Polymeric Technologies for Point-of-care & Integrated Diagnostics Devices (PhD thesis, Dublin City University, 2010)"
other:No experimental sample-preparation protocol described on provided pages (references/conflict of interest/copyright sections only).,1,0.0,0.0,0000 (1),A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection
other:No experimental protocol described on provided pages (references section only; pages 14–15).,1,0.0,0.0,0000 (1),Comparison of media and standards for SARS-CoV-2 RT-qPCR without prior RNA preparation.
other:M-lysis reagent,1,0.0,0.0,0000 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
"other:LAMP/RT-LAMP amplification (WarmStart Colorimetric LAMP) with evaluation of additives (e.g., guanidine hydrochloride, DMSO, GC-Melt, PVSA) and subsequent amplicon purification for sequencing/analysis",1,0.0,0.0,0000 (1),Molecular Characterization of Increased Amplicon Lengths in SARS-CoV-2 Reverse Transcription Loop-Mediated Isothermal Amplification Assays
other:FTA purification reagent,1,0.0,0.0,0000 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
other:FTA Elute buffer,1,0.0,0.0,0000 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
"other:Direct (extraction-free) RT-LAMP workflow is referenced, but no sample-prep protocol details are described on the provided pages; mentions 'mechanical lysis' and an SOP in supplementary material (Appendix A) without procedural specifics.",1,0.0,0.0,0000 (1),A point-of-care SARS-CoV-2 test based on reverse transcription loop-mediated isothermal amplification without RNA extraction with diagnostic performance same as RT-PCR.
"other:D2P extraction-free/direct-to-PCR method mentioned as using proprietary buffers to lyse cells directly; specific sample-prep steps (washes, centrifugation, heating) not described on provided pages (pp. 7–12; Discussion sections 4.1–4.2).",1,0.0,0.0,0000 (1),Evaluation of direct-to-PCR (D2P) method for molecular diagnosis of infectious diseases.
other:Comparator methods referenced (Qiagen silica column; KingFisher magnetic bead-based extraction) but without procedural details on provided pages (pp. 7–12; Tables 3–5 and associated text).,1,0.0,0.0,0000 (1),Evaluation of direct-to-PCR (D2P) method for molecular diagnosis of infectious diseases.
